year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202602,(data not available),139,112,7,437.99,136
202511,l.facebook.com / referral,138,118,0,0.0,124
202509,influenceur.promo / referral,134,51,7,934.47,54
202507,l.facebook.com / referral,133,108,0,0.0,116
202508,l.facebook.com / referral,133,125,0,0.0,122
202507,le-petit-lunetier.typeform.com / referral,126,62,6,1558.2,51
202509,l.facebook.com / referral,122,109,0,0.0,111
202603,(data not available),120,84,7,369.99,114
202511,ma-reduc.com / referral,119,70,3,149.07,56
202602,shop.app / referral,115,45,0,0.0,71
202510,l.facebook.com / referral,113,97,0,0.0,103
202511,influenceur.promo / referral,113,56,6,437.81,52
202508,le-petit-lunetier.typeform.com / referral,112,49,2,521.65,50
202510,Facebook / Paid Social,110,76,0,0.0,102
202511,IGShopping / Social,110,68,0,0.0,96
202508,chatgpt.com / (not set),109,82,1,238.0,88
202507,affilae / affiliation,102,46,3,216.09,53
202508,OrderlyEmails / email,97,56,2,169.1,48
202605,ONLINE - Footer site - Welcome / email,92,55,4,253.9,49
202509,AMT / Influenceur,91,23,0,0.0,82
202510,influenceur.promo / referral,91,49,6,447.92,39
202506,ecosia.org / organic,90,63,0,0.0,59
202603,qwant.com / organic,88,69,5,400.98,55
202510,OrderlyEmails / email,86,56,6,985.47,42
202603,duckduckgo / organic,86,64,1,89.0,60
202606,ONLINE - Footer site - Welcome / email,85,46,6,723.88,46
202605,OrderlyEmails / email,84,40,14,1815.45,29
202509,OrderlyEmails / email,82,44,7,870.48,44
202602,redirect-euw1.ppro.com / referral,80,29,1,52.99,39
202507,fr.search.yahoo.com / referral,79,64,2,142.99,54
202511,fr.search.yahoo.com / referral,79,62,5,394.37,50
202508,facebook-SiteLink / ppc,78,47,0,0.0,77
202508,influenceur.promo / referral,78,45,3,305.3,47
202512,ig / social,78,53,1,69.3,62
202603,shop.app / referral,78,36,0,0.0,47
202507,IGShopping / Social,77,42,0,0.0,63
202508,judgeme / email,76,29,0,0.0,42
202507,google / product_sync,75,56,0,0.0,63
202509,ONLINE - Footer site - Welcome / email,74,36,1,47.09,34
202509,chatgpt.com / referral,74,51,1,15.49,55
202510,chatgpt.com / referral,72,51,3,183.73,55
202511,OrderlyEmails / email,72,43,2,352.0,42
202507,chatgpt.com / (not set),71,43,0,0.0,60
202510,facebook / paid,71,28,0,0.0,44
202506,m.facebook.com / referral,70,54,0,0.0,68
202507,qwant.com / organic,70,53,2,168.0,41
202512,admin.shopify.com / referral,70,48,0,0.0,3
202605,redirect-euw1.ppro.com / referral,69,30,2,149.99,24
202509,fr.search.yahoo.com / referral,68,53,2,130.99,48
202510,fr.search.yahoo.com / referral,68,50,1,51.99,50
202512,le-petit-lunetier.typeform.com / referral,67,50,0,0.0,12
202605,qwant.com / organic,67,49,1,54.99,43
202511,pinterest.com / referral,66,38,0,0.0,63
202508,fr.search.yahoo.com / referral,64,47,1,89.0,51
202510,admin.shopify.com / referral,64,47,0,0.0,3
202606,socialmedia / influence,64,23,2,120.99,52
202508,google / product_sync,63,55,0,0.0,54
202601,ONLINE - Footer site - Welcome / email,63,41,3,150.99,33
202509,qwant.com / organic,62,47,0,0.0,41
202510,pinterest.com / referral,61,28,0,0.0,58
